OCCUPATION_TYPE,EMP_FEIN,EMP_NAICS,EMP_NUM_PAYROLL,EMP_YEAR_COMMENCED,JOB_TITLE,JOB_OPP_WAGE_FROM,JOB_OPP_WAGE_TO,JOB_OPP_WAGE_PER,JOB_AVG_WAGE,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_POSTAL_CODE,PRIMARY_WORKSITE_BLS_AREA,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_JOB_FOREIGN_LANGUAGE
Non-professional,47-4023491,561320,24,2015,Personal Care Aide,"$22,464.00","$22,464.00",Year,,Business Premises,Jeannette,PA,15644,"Pittsburgh, PA",Y,N,N
Non-professional,47-4023491,561320,24,2015,Personal Care Aide,"$22,464.00","$22,464.00",Year,,Business Premises,JEANNETTE,PA,15644,"Pittsburgh, PA",Y,N,N
Non-professional,47-4023491,561320,24,2015,Personal Care Aide,"$22,464.00","$22,464.00",Year,,Business Premises,Jeannette,PA,15644,"Pittsburgh, PA",Y,N,N
Professional occupation,26-3051428,561599,1784,2008,Senior Frontend Engineer,"$185,000.00","$245,000.00",Year,"$215,000.00",Business Premises,San Francisco,CA,94103,"San Francisco-Oakland-Hayward, CA",Y,N,N
Professional occupation,39-1833695,51821,491,1984,Sr Business Analyst,"$103,043.00","$178,800.00",Year,"$140,921.50",Business Premises,Brookfield,WI,53045,"Milwaukee-Waukesha-West Allis, WI",Y,N,N
Non-professional,47-4023491,561320,24,2015,Personal Care Aide,"$22,464.00","$22,464.00",Year,,Business Premises,Jeannette,PA,15644,"Pittsburgh, PA",Y,N,N
Non-professional,84-3784332,722511,200,2019,Crew Member,"$23,920.00",,Year,,Business Premises,Louisville,KY,40241,"Louisville/Jefferson County, KY-IN",Y,N,N
Professional occupation,26-3051428,561599,1784,2008,Senior Software Engineer,"$185,000.00","$245,000.00",Year,"$215,000.00",Business Premises,San Francisco,CA,94103,"San Francisco-Oakland-Hayward, CA",Y,N,N
Professional occupation,66-0774364,622110,1054,2011,PHARMACY TECHNICIAN,$15.18,$15.18,Hour,,Business Premises,Saipan,MP,96950,Northern Mariana Islands,Y,N,N
Professional occupation,66-0774364,622110,1054,2011,CLINICAL LABORATORY SCIENTIST,"$46,114.00","$46,114.00",Year,"$46,114.00",Business Premises,Saipan,MP,96950,Northern Mariana Islands,Y,N,N
Professional occupation,45-3164250,62111,34,2017,Physician - Hospitalist ,"$300,000.00",,Year,"$300,000.00",Business Premises,Wichita falls,TX,76301,"Wichita Falls, TX",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,38-2035775,336390,2000,1974,Lead Development Engineer,"$105,327.00",,Year,"$105,327.00",Business Premises,Auburn Hills,MI,48326,"Detroit-Warren-Dearborn, MI",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,31-1007881,62111,1640,2008,Family Medicine Physician,"$259,000.00",,Year,"$259,000.00",Business Premises,Cincinnati,OH,45236,"Cincinnati, OH-KY-IN",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,81-1939691,62311,65,2016,Caregiver,"$24,960.00",,Year,,Business Premises,Cumberland,WI,54829,Western Wisconsin nonmetropolitan area,Y,N,N
Non-professional,46-4989630,722513,10,2014,Food Preparer,"$20,800.00",,Year,,Business Premises,York,PA,17408,"York-Hanover, PA",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,47-2362151,513210,1500,2014,Enterprise Account Executive,"$130,000.00","$195,600.00",Year,"$162,800.00",Business Premises,Waltham ,MA,02451,"Boston-Cambridge-Nashua, MA-NH",Y,N,N
Professional occupation,23-2518618,48849,80,1969,Software Engineer,"$123,614.00",,Year,"$123,614.00",Business Premises,Tampa,FL,33609,"Tampa-St. Petersburg-Clearwater, FL",Y,N,N
Non-professional,39-1244797,61151,264,1963,Caregiver,"$33,280.00",,Year,,Business Premises,Onalaska,WI,54650,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,264,1963,Caregiver,"$33,280.00",,Year,,Business Premises,Onalaska,WI,54650,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,264,1963,Caregiver,"$33,280.00",,Year,,Business Premises,Onalaska,WI,54650,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,20-3361916,541511,600,2005,Sr Solution Architect - I,"$157,685.00",,Year,"$157,685.00",Business Premises,Princeton,NJ,08540,"Trenton, NJ",Y,N,N
Professional occupation,13-5266470,522110,14742,1812,Data Architecture Lead Analyst,"$156,000.00","$164,780.00",Year,"$160,390.00",Business Premises,Tampa,FL,33610,"Tampa-St. Petersburg-Clearwater, FL",Y,N,N
Non-professional,81-4267900,722511,16,2016,Cook,"$40,622.00",,Year,,Business Premises, New York,NY,10014,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,81-1939691,62311,65,2016,Caregiver,"$24,960.00",,Year,,Business Premises,Cumberland,WI,54829,Western Wisconsin nonmetropolitan area,Y,N,N
Non-professional,81-1939691,62311,65,2016,Caregiver,"$24,960.00",,Year,,Business Premises,Cumberland,WI,54829,Western Wisconsin nonmetropolitan area,Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
College/University Teacher,62-6001636,611310,1441,1969,Assistant Professor of Data Analytics,"$125,000.00","$140,000.00",Year,,Business Premises,Chattanooga,TN,37403,"Chattanooga, TN-GA",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,30-0579301,721110,18,2009,Assistant General Manager,"$41,829.00",,Year,,Business Premises,Statesville  ,NC,28677,"Charlotte-Concord-Gastonia, NC-SC",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,13-4073844,541330,90,1994,MECHANICAL ENGINEER,"$70,096.00",,Year,"$70,096.00",Business Premises,NEW YORK,NY,10001,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,83-1937273,518210,7,2018,Environmental Economist,"$102,918.00",,Year,,Employee's private residence (when work is performed directly out of the residence),Brookline,MA,02446,"Boston-Cambridge-Nashua, MA-NH",Y,N,N
Non-professional,81-1939691,62311,65,2016,Caregiver,"$24,960.00",,Year,,Business Premises,Cumberland,WI,54829,Western Wisconsin nonmetropolitan area,Y,N,N
Non-professional,82-2135684,236220,24,2017,Groundskeepers,"$37,440.00","$37,440.00",Year,,Business Premises,Buda,TX,78610,"Austin-Round Rock, TX",Y,N,N
Non-professional,39-1244797,61151,264,1963,Caregiver,"$33,280.00",,Year,,Business Premises,Onalaska,WI,54650,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,13-2617929,522110,587,1976,"Vice President, USA Corporate Banking Relationship Manager","$175,000.00","$220,000.00",Year,"$197,500.00",Business Premises,New York,NY,10022,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,27-3098090,441120,6,2010,CLASSIC AUTOMOTIVE DETAILER,"$27,810.00","$27,810.00",Year,,Business Premises,FORT LAUDERDALE,FL,33312,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,81-1939691,62311,65,2016,Caregiver,"$24,960.00",,Year,,Business Premises,Cumberland,WI,54829,Western Wisconsin nonmetropolitan area,Y,N,N
Non-professional,82-2135684,236220,24,2017,Groundskeepers,"$37,440.00","$37,440.00",Year,,Business Premises,Buda,TX,78610,"Austin-Round Rock, TX",Y,N,N
Professional occupation,27-0225374,541511,7,2009,TEAM CONNECT SPECIALIST,"$125,000.00",,Year,"$125,000.00",Business Premises,NEWPORT BEACH,CA,92660,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,83-1372638,541511,19,2018,Software Engineer,"$129,834.00","$129,834.00",Year,"$129,834.00",Business Premises,Bloomington,IL,61701,"Bloomington, IL",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,04-2432614,541611,309,1963,Project Leader/Principal,"$225,400.00","$268,400.00",Year,"$246,900.00",Business Premises,Atlanta,GA,30309,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,264,1963,Caregiver,"$33,280.00",,Year,,Business Premises,Onalaska,WI,54650,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,264,1963,Caregiver,"$33,280.00",,Year,,Business Premises,Onalaska,WI,54650,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,264,1963,Caregiver,"$33,280.00",,Year,,Business Premises,Onalaska,WI,54650,"La Crosse-Onalaska, WI-MN",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,38-2750395,522292,7000,1986,Quality Engineer,"$115,000.00",,Year,"$115,000.00",Business Premises,Pontiac,MI,48341,"Detroit-Warren-Dearborn, MI",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,45-3164250,62111,34,2017,Physician - Hospitalist ,"$300,000.00",,Year,"$300,000.00",Business Premises,Wichita falls,TX,76301,"Wichita Falls, TX",Y,N,N
Professional occupation,92-1306549,541330,11,2022,Sales Engineer,"$123,635.00",,Year,"$123,635.00",Business Premises,Pittsburg,CA,94565,"San Francisco-Oakland-Hayward, CA",Y,N,N
Non-professional,82-2135684,236220,24,2017,Groundskeepers,"$37,440.00","$37,440.00",Year,,Business Premises,Buda,TX,78610,"Austin-Round Rock, TX",Y,N,N
Professional occupation,31-1007881,62111,1640,2008,Family Medicine Physician,"$259,000.00",,Year,"$259,000.00",Business Premises,Cincinnati,OH,45236,"Cincinnati, OH-KY-IN",Y,N,N
Professional occupation,47-3952152,5415,373,2015,Engineer(Compute&Onboard Runtime Environ't) Core Integration,"$66,789.00","$138,000.00",Year,"$102,394.50",Business Premises,Pittsburgh,PA,15207,"Pittsburgh, PA",Y,N,N
Professional occupation,86-3387600,541511,10,2021,Software Engineer,"$101,192.00","$105,000.00",Year,"$103,096.00",Business Premises,Plano,TX,75023,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Non-professional,82-2135684,236220,24,2017,Groundskeepers,"$37,440.00","$37,440.00",Year,,Business Premises,Buda,TX,78610,"Austin-Round Rock, TX",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,77-0333710,5415,1778,1993,Senior Customer Reliability Engineer ,"$139,725.00","$169,725.00",Year,"$154,725.00",Business Premises,Redwood City,CA,94063,"San Francisco-Oakland-Hayward, CA",Y,N,N
Non-professional,82-2993270,722511,1,2020,Food Preparer,"$20,800.00",,Year,,Business Premises,York,PA,17402,"York-Hanover, PA",Y,N,N
Non-professional,39-1244797,61151,300,1963,Direct Support Professional,"$41,600.00",,Year,,Business Premises,La Crosse,WI,54601,"La Crosse-Onalaska, WI-MN",Y,N,N
Professional occupation,20-8809830,541511,270,2007,Data Science Manager,"$223,018.00","$236,500.00",Year,"$229,759.00",Business Premises,New York,NY,10001,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,26-2047039,62111,4400,2008,Hospitalist Physician,"$229,824.00","$306,432.00",Year,"$268,128.00",Business Premises,Winchester,VA,22601,"Winchester, VA-WV",Y,N,N
Non-professional,47-5451094,623110,58,2015,NURSING ASSISTANT,"$28,954.00",,Year,,Business Premises,ELGIN,IL,60123,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,82-5464782,722511,77,2018,Dishwasher,"$27,300.00",,Year,,Business Premises,Traverse City ,MI,49684,Northwest Lower Peninsula of Michigan nonmetropolitan area,Y,N,N
Non-professional,47-5451094,623110,58,2015,NURSING ASSISTANT,"$28,954.00",,Year,,Business Premises,ELGIN,IL,60123,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Professional occupation,74-6001255,61111,29280,1923,Science Teacher,"$64,500.00","$87,500.00",Year,"$76,000.00",Business Premises,Houston,TX,77091,"Houston-The Woodlands-Sugar Land, TX",Y,N,N
Non-professional,47-1913545,23731,3,2014,Concrete Worker/Laborer,"$32,864.00","$32,864.00",Year,,Business Premises,Sulphur Springs,TX,75482,North Texas Region of Texas nonmetropolitan area,Y,N,N
Professional occupation,56-2431105,541511,23,2004,Software Developer,"$96,054.00",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Professional occupation,20-2901522,62111,4400,2005,Hospitalist Physician,"$267,840.00","$321,840.00",Year,"$294,840.00",Business Premises,Bakersfield,CA,93301,"Bakersfield, CA",Y,N,N
Non-professional,82-5464782,722511,77,2018,Dishwasher,"$27,300.00",,Year,,Business Premises,Traverse City ,MI,49684,Northwest Lower Peninsula of Michigan nonmetropolitan area,Y,N,N
Professional occupation,95-2775732,511210,2320,1969,Support Services Lead,"$70,720.00","$106,600.00",Year,"$88,660.00",Business Premises,Redlands,CA,92373,"Riverside-San Bernardino-Ontario, CA",Y,N,N
Professional occupation,22-3536104,541511,3250,1993,Senior Experience Designer,"$104,832.00","$210,000.00",Year,"$157,416.00",Business Premises,Newtown ,PA,18940,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Professional occupation,56-2431105,541511,23,2004,Software Developer,"$96,054.00",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Non-professional,58-2608868,311615,100,1999,Poultry Worker,"$23,171.00",,Year,,Business Premises,Braselton ,GA,30517,North Georgia nonmetropolitan area,Y,N,N
Non-professional,20-5440982,238110,20,2006,Concrete Finisher/Maintenance,"$38,917.00",,Year,,Business Premises,St. Peters,MO,63376,"St. Louis, MO-IL",Y,N,N
Professional occupation,22-3536104,541511,3250,1993,Senior Software Test Automation Engineer,"$108,555.00","$160,000.00",Year,"$134,277.50",Business Premises,Newtown ,PA,18940,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Non-professional,82-5464782,722511,77,2018,Food Preparation Workers,"$25,480.00",,Year,,Business Premises,Traverse City,MI,49684,Northwest Lower Peninsula of Michigan nonmetropolitan area,Y,N,N
Professional occupation,27-1924416,54151,70,2010,DevOps Engineer,"$114,837.00",,Year,"$114,837.00",Business Premises,Scottsdale,AZ,85260,"Phoenix-Mesa-Scottsdale, AZ",Y,N,N
Professional occupation,27-1371893,621111,4400,2009,Hospitalist Physician,"$231,120.00","$319,680.00",Year,"$275,400.00",Business Premises,Austin,TX,78705,"Austin-Round Rock, TX",Y,N,N
Professional occupation,01-0733400,541330,83,1919,Project Engineer,"$105,000.00",,Year,,Employee's private residence (when work is performed directly out of the residence),FRISCO,TX,75034,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Non-professional,85-2995061,623110,20,2020,Nursing Assistant,"$35,000.00","$35,000.00",Year,,Business Premises,Los Angeles,CA,90006,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,81-1747239,623312,6,2016,Caregiver,"$29,578.00","$29,578.00",Year,,Business Premises,Surprise,AZ,85388,"Phoenix-Mesa-Scottsdale, AZ",Y,N,N
Non-professional,46-3915963,722513,54,2017,Accounting Assistant,"$53,040.00",,Year,,Business Premises,Fairfax,VA,22031,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,N,N
Professional occupation,48-1088407,33451,4662,1989,Team Leader Software Engineering,"$122,158.00","$172,700.00",Year,"$147,429.00",Business Premises,Olathe,KS,66062,"Kansas City, MO-KS",Y,N,N
Non-professional,46-2394066,722511,34,2013,COOK,"$32,427.00",,Year,,Business Premises,Elkins Park,PA,19027,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Non-professional,58-2608868,311615,100,1999,Poultry Worker,"$23,171.00",,Year,,Business Premises,Braselton ,GA,30517,North Georgia nonmetropolitan area,Y,N,N
Professional occupation,13-4922250,522210,26000,1850,"Senior Managers, Risk Management","$98,862.00",,Year,"$98,862.00",Business Premises,New York,NY,10285,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,95-2775732,511210,2320,1969,Software Development Engineer,"$93,600.00","$156,000.00",Year,"$124,800.00",Business Premises,Redlands,CA,92373,"Riverside-San Bernardino-Ontario, CA",Y,N,N
Non-professional,86-1490446,926140,30,2002,Truck Driver,"$60,000.00","$70,000.00",Year,,Business Premises,Tipton,IN,46072,Central Indiana nonmetropolitan area,Y,N,N
Non-professional,81-1176034,722511,7,2016,Thai restaurant manager,"$70,616.00",,Year,,Business Premises,Wilmette,IL,60091,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,83-3865023,623110,160,2019,Caregivers,"$31,990.00","$31,990.00",Year,,Business Premises,GLENDORA,CA,91740,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,82-5464782,722511,77,2018,Food Preparation Workers,"$25,480.00",,Year,,Business Premises,Traverse City,MI,49684,Northwest Lower Peninsula of Michigan nonmetropolitan area,Y,N,N
Non-professional,85-2995061,623110,20,2020,Nursing Assistant,"$35,000.00","$35,000.00",Year,,Business Premises,Los Angeles,CA,90006,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,82-5464782,722511,77,2018,Dishwasher,"$27,300.00",,Year,,Business Premises,Traverse City ,MI,49684,Northwest Lower Peninsula of Michigan nonmetropolitan area,Y,N,N
Professional occupation,22-3536104,541511,3250,1993,Business Consultant ,"$104,832.00","$155,000.00",Year,"$129,916.00",Business Premises,Newtown ,PA,18940,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Non-professional,84-3078478,624120,240,2019,Caregiver,"$27,040.00","$27,040.00",Year,,Business Premises,Peachtree Corners,GA,30071,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,47-5451094,623110,58,2015,NURSING ASSISTANT,"$28,954.00",,Year,,Business Premises,ELGIN,IL,60123,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,45-5404391,621340,4,2012,Certified Speech-Language Pathologist ,"$50,960.00",,Year,,Business Premises,Smithfield ,NC,27577,"Raleigh, NC",Y,N,N
Professional occupation,27-1371893,62111,4400,2009,Hospitalist Physician,"$226,800.00","$302,400.00",Year,"$264,600.00",Business Premises,Fort Worth,TX,76104,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Non-professional,88-4139049,814110,0,2022,NANNY,$9.93,$12.00,Hour,,Employer's private household (includes live-in and domestic household worker),Atlanta,GA,30305,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,47-1913545,23731,3,2014,Concrete Worker/Laborer,"$32,864.00","$32,864.00",Year,,Business Premises,Sulphur Springs,TX,75482,North Texas Region of Texas nonmetropolitan area,Y,N,N
Non-professional,20-5440982,238110,20,2006,Concrete Finisher/Maintenance,"$38,917.00",,Year,,Business Premises,St. Peters,MO,63376,"St. Louis, MO-IL",Y,N,N
Professional occupation,56-2431105,541511,23,2004,Software Developer,"$96,054.00",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
College/University Teacher,59-0936101,611310,467,1926,Assistant Professor of Aeronautical Science,"$97,428.49",,Year,,Business Premises,Prescott,AZ,86301,"Prescott, AZ",Y,N,N
Professional occupation,74-6001255,61111,29280,1923,Science Teacher,"$64,500.00","$87,500.00",Year,"$76,000.00",Business Premises,Houston,TX,77091,"Houston-The Woodlands-Sugar Land, TX",Y,N,N
Professional occupation,95-2775732,511210,2320,1969,Software Development Engineer,"$114,400.00","$187,200.00",Year,"$150,800.00",Business Premises,Redlands,CA,92373,"Riverside-San Bernardino-Ontario, CA",Y,N,N
Professional occupation,27-1371893,62111,4400,2009,Hospitalist Physician,"$285,120.00","$339,120.00",Year,"$312,120.00",Business Premises,Topeka,KS,66606,"Topeka, KS",Y,N,N
Professional occupation,71-6014834,61131,625,1909,Assistant Professor of Finance,"$50,700.00",,Year,"$50,700.00",Business Premises,Russellville,AR,72801,West Arkansas nonmetropolitan area,Y,N,N
Professional occupation,27-1371893,62111,4400,2012,Hospitalist Physician,"$285,120.00","$339,120.00",Year,"$312,120.00",Business Premises,Topeka,KS,66606,"Topeka, KS",Y,N,N
Non-professional,82-5464782,722511,77,2018,Food Preparation Workers,"$25,480.00",,Year,,Business Premises,Traverse City,MI,49684,Northwest Lower Peninsula of Michigan nonmetropolitan area,Y,N,N
Non-professional,92-1091731,814110,0,2022,NANNY,"$31,408.00",,Year,,Employer's private household (includes live-in and domestic household worker),Buffalo,NY,14214,"Buffalo-Cheektowaga-Niagara Falls, NY",Y,N,N
Professional occupation,76-0618162,611110,119,1998,Middle School Teacher,"$61,500.00",,Year,"$61,500.00",Business Premises,Houston,TX,77081,"Houston-The Woodlands-Sugar Land, TX",Y,N,N
Professional occupation,56-2431105,541511,23,2004,Software Developer,"$96,054.00",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Non-professional,81-1747239,623312,6,2016,Caregiver,"$29,578.00","$29,578.00",Year,,Business Premises,Surprise,AZ,85388,"Phoenix-Mesa-Scottsdale, AZ",Y,N,N
College/University Teacher,59-0936101,611310,1146,1926,Instructor Pilot 3-1,$28.06,,Hour,,Business Premises,Daytona Beach,FL,32114,"Deltona-Daytona Beach-Ormond Beach, FL",Y,N,N
Professional occupation,01-0733400,541330,39,1919,Building Information Modeling (BIM) Designer,"$62,200.00",,Year,"$62,200.00",Business Premises,Harlingen,TX,78550,"Brownsville-Harlingen, TX",Y,N,N
Non-professional,85-2995061,623110,20,2020,Nursing Assistant,"$35,000.00","$35,000.00",Year,,Business Premises,Los Angeles,CA,90006,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,58-2608868,311615,100,1999,Poultry Worker,"$23,171.00",,Year,,Business Premises,Braselton ,GA,30517,North Georgia nonmetropolitan area,Y,N,N
Non-professional,58-2608868,311615,100,1999,Poultry Worker,"$23,171.00",,Year,,Business Premises,Braselton ,GA,30517,North Georgia nonmetropolitan area,Y,N,N
Non-professional,20-5440982,238110,20,2006,Concrete Finisher/Maintenance,"$38,917.00",,Year,,Business Premises,St. Peters,MO,63376,"St. Louis, MO-IL",Y,N,N
Non-professional,82-5464782,722511,77,2018,Dishwasher,"$27,300.00",,Year,,Business Premises,Traverse City ,MI,49684,Northwest Lower Peninsula of Michigan nonmetropolitan area,Y,N,N
Professional occupation,45-3782550,62111,4400,2011,Hospitalist Physician,"$291,600.00","$345,600.00",Year,"$318,600.00",Business Premises,Youngstown,OH,44504,"Youngstown-Warren-Boardman, OH-PA",Y,N,N
Professional occupation,81-4753929,541511,10,2016,Software Developer / Analyst ,"$68,848.00",,Year,"$68,848.00",Business Premises,Irving,TX,75038,"Dallas-Fort Worth-Arlington, TX",Y,N,N
College/University Teacher,04-2103545,611310,3500,1863,"Assistant Professor, Hispanic Studies","$84,000.00","$92,000.00",Year,,Business Premises,Chestnut Hill,MA,02467,"Boston-Cambridge-Nashua, MA-NH",Y,N,Y
Non-professional,83-3865023,623110,160,2019,Caregivers,"$31,990.00","$31,990.00",Year,,Business Premises,GLENDORA,CA,91740,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,81-2284769,814110,0,2022,NANNY,"$29,120.00",,Year,,Employer's private household (includes live-in and domestic household worker),Austin,TX,78730,"Austin-Round Rock, TX",Y,N,N
Non-professional,84-3078478,624120,240,2019,Caregiver,"$27,040.00","$27,040.00",Year,,Business Premises,Peachtree Corners,GA,30071,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,85-2995061,623110,20,2020,Nursing Assistant,"$35,000.00","$35,000.00",Year,,Business Premises,Los Angeles,CA,90006,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,82-2844873,623110,95,2017,NURSING ASSISTANT,"$28,954.00",,Year,,Business Premises,WEST CHICAGO,IL,60185,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,82-5464782,722511,77,2018,Food Preparation Workers,"$25,480.00",,Year,,Business Premises,Traverse City,MI,49684,Northwest Lower Peninsula of Michigan nonmetropolitan area,Y,N,N
Non-professional,86-1490446,926140,30,2002,Truck Driver,"$60,000.00","$70,000.00",Year,,Business Premises,Tipton,IN,46072,Central Indiana nonmetropolitan area,Y,N,N
Non-professional,47-5451094,623110,58,2015,NURSING ASSISTANT,"$28,954.00",,Year,,Business Premises,ELGIN,IL,60123,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,58-2608868,311615,100,2001,Poultry Worker,"$27,040.00","$27,040.00",Hour,,Business Premises,Braselton ,GA,30517,North Georgia nonmetropolitan area,Y,N,N
Non-professional,47-5451094,623110,58,2015,NURSING ASSISTANT,"$28,954.00",,Year,,Business Premises,ELGIN,IL,60123,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,82-2844873,623110,95,2017,NURSING ASSISTANT,"$28,954.00",,Year,,Business Premises,WEST CHICAGO,IL,60185,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
